0,1,2,3,4
filt,rspect,0.0001,0.05,0.6119343185550081
filt,rspect,0.0001,0.1,0.6177536945812807
filt,rspect,0.0001,0.15,0.6004466338259442
filt,rspect,0.0001,0.2,0.5992972085385878
filt,rspect,0.0001,0.25,0.6004794745484401
filt,rspect,0.0001,0.3,0.6325845648604269
filt,rspect,0.0001,0.35,0.6050180623973727
filt,rspect,0.0001,0.4,0.5843875205254515
filt,rspect,0.0001,0.45,0.6004334975369459
filt,rspect,0.0001,0.5,0.5786600985221675
filt,rspect,0.0001,0.0,0.6142660098522168
filt,rspect,0.0005,0.05,0.5729064039408868
filt,rspect,0.0005,0.1,0.6153497536945813
filt,rspect,0.0005,0.15,0.6108045977011495
filt,rspect,0.0005,0.2,0.6119474548440066
filt,rspect,0.0005,0.25,0.6073628899835797
filt,rspect,0.0005,0.3,0.6120197044334976
filt,rspect,0.0005,0.35,0.5695369458128079
filt,rspect,0.0005,0.4,0.5912972085385879
filt,rspect,0.0005,0.45,0.5821083743842365
filt,rspect,0.0005,0.5,0.5969983579638752
filt,rspect,0.0005,0.0,0.6131625615763546
filt,rspect,0.001,0.05,0.6038292282430213
filt,rspect,0.001,0.1,0.6257339901477833
filt,rspect,0.001,0.15,0.6016354679802955
filt,rspect,0.001,0.2,0.586679802955665
filt,rspect,0.001,0.25,0.5785681444991789
filt,rspect,0.001,0.3,0.5958686371100164
filt,rspect,0.001,0.35,0.5958817733990148
filt,rspect,0.001,0.4,0.5866929392446634
filt,rspect,0.001,0.45,0.5763415435139574
filt,rspect,0.001,0.5,0.5924137931034483
filt,rspect,0.001,0.0,0.6073825944170771
filt,rspect,0.005,0.05,0.6188308702791462
filt,rspect,0.005,0.1,0.6016223316912972
filt,rspect,0.005,0.15,0.6096683087027915
filt,rspect,0.005,0.2,0.6176748768472906
filt,rspect,0.005,0.25,0.5946995073891626
filt,rspect,0.005,0.3,0.5832906403940886
filt,rspect,0.005,0.35,0.5878489326765189
filt,rspect,0.005,0.4,0.5924269293924467
filt,rspect,0.005,0.45,0.5786338259441708
filt,rspect,0.005,0.5,0.5786666666666667
filt,rspect,0.005,0.0,0.5969720853858785
filt,rspect,0.01,0.05,0.595855500821018
filt,rspect,0.01,0.1,0.6062134646962233
filt,rspect,0.01,0.15,0.5854844006568144
filt,rspect,0.01,0.2,0.5970377668308704
filt,rspect,0.01,0.25,0.6027192118226601
filt,rspect,0.01,0.3,0.5809786535303777
filt,rspect,0.01,0.35,0.5832380952380952
filt,rspect,0.01,0.4,0.5764072249589491
filt,rspect,0.01,0.45,0.5729589490968802
filt,rspect,0.01,0.5,0.5545484400656815
filt,rspect,0.01,0.0,0.599336617405583
filt,rspect,0.05,0.05,0.5970049261083743
filt,rspect,0.05,0.1,0.5981937602627256
filt,rspect,0.05,0.15,0.5844269293924466
filt,rspect,0.05,0.2,0.5924334975369459
filt,rspect,0.05,0.25,0.5924334975369457
filt,rspect,0.05,0.3,0.598200328407225
filt,rspect,0.05,0.35,0.572952380952381
filt,rspect,0.05,0.4,0.5407750410509031
filt,rspect,0.05,0.45,0.567231527093596
filt,rspect,0.05,0.5,0.5660295566502463
filt,rspect,0.05,0.0,0.5752052545155993
filt,rspect,0.15,0.05,0.5556978653530378
filt,rspect,0.15,0.1,0.5671395730706076
filt,rspect,0.15,0.15,0.5763743842364533
filt,rspect,0.15,0.2,0.5637504105090312
filt,rspect,0.15,0.25,0.5649064039408868
filt,rspect,0.15,0.3,0.5820558292282431
filt,rspect,0.15,0.35,0.5522692939244663
filt,rspect,0.15,0.4,0.5569129720853859
filt,rspect,0.15,0.45,0.5534055829228243
filt,rspect,0.15,0.5,0.5567881773399015
filt,rspect,0.15,0.0,0.5751789819376028
filt,rspect,0.1,0.05,0.5740689655172414
filt,rspect,0.1,0.1,0.575192118226601
filt,rspect,0.1,0.15,0.5809458128078818
filt,rspect,0.1,0.2,0.5648998357963875
filt,rspect,0.1,0.25,0.5569064039408866
filt,rspect,0.1,0.3,0.5786600985221675
filt,rspect,0.1,0.35,0.5844466338259442
filt,rspect,0.1,0.4,0.5385221674876848
filt,rspect,0.1,0.45,0.5660032840722496
filt,rspect,0.1,0.5,0.569497536945813
filt,rspect,0.1,0.0,0.5683415435139574
filt,rspect,0.25,0.05,0.560295566502463
filt,rspect,0.25,0.1,0.5533793103448276
filt,rspect,0.25,0.15,0.56488013136289
filt,rspect,0.25,0.2,0.5487947454844007
filt,rspect,0.25,0.25,0.5350279146141215
filt,rspect,0.25,0.3,0.5602824302134646
filt,rspect,0.25,0.35,0.5511001642036125
filt,rspect,0.25,0.4,0.5648538587848932
filt,rspect,0.25,0.45,0.5556518883415434
filt,rspect,0.25,0.5,0.5545024630541872
filt,rspect,0.25,0.0,0.5544893267651888
filt,rspect,0.2,0.05,0.577471264367816
filt,rspect,0.2,0.1,0.5591001642036125
filt,rspect,0.2,0.15,0.5396059113300493
filt,rspect,0.2,0.2,0.5659901477832513
filt,rspect,0.2,0.25,0.5878292282430213
filt,rspect,0.2,0.3,0.5843875205254515
filt,rspect,0.2,0.35,0.575192118226601
filt,rspect,0.2,0.4,0.5430673234811166
filt,rspect,0.2,0.45,0.5694975369458127
filt,rspect,0.2,0.5,0.5568735632183908
filt,rspect,0.2,0.0,0.5729655172413792
